"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"1706","2003",피그플랜,"010002","180007","3",0,23.3,"1,165",2.35,42.5,19,2.4,18.1,2,1,115.2,84.9,11.7,10.8,0.2,0.6,9.9,23,7.9,"83.1","5.2",233,"6.5"
"2160","2003",피그플랜,"010004","180006","3",0,21.4,515,2.47,37.5,14,0.4,17.6,5,0.4,115.8,87,10.1,9.2,0.3,0.7,8.7,21.9,8.3,"84.4",.5,218,"6.1"
"1757","2003",피그플랜,"010001","180002","3",19.8,21.9,174,2.39,36.1,16,4.7,12.6,1.1,1.6,115.1,90,12.3,11.3,0.2,0.8,9.2,22.3,8,"80.9","4.5",224,"7.3"
"810","2003",피그플랜,"010001","180006","3",0,21.8,537,2.3,52,15.5,1.4,35.1,0.1,0,115.3,80.1,11.6,10.7,0.2,0.6,9.5,21.1,7.5,"86.1","4.6",228,"7.7"
"1822","2003",피그플랜,"010009","180001","3",0,21.5,76,2.28,40.4,13.7,1,22.7,0.1,3,115.5,86.8,11.8,11.4,0,0.5,9.4,23.5,6.1,"91.1","6.1",228,"7.7"
"3893","2003",피그플랜,"010009","180001","3",0,20.7,94,2.28,55.1,19.2,3,28.1,4.4,0.4,114.1,71.5,10.8,10.1,0,0.6,9.1,22.9,6.9,"86.4","2.4",220,
"1401","2003",피그플랜,"010007","180006","3",0,21.8,522,2.44,32,11.1,1.6,18.9,0.3,0,114.1,87.1,11.6,10.8,0.3,0.6,8.9,20.1,5.5,"93.2","4.2",245,"5.7"
"1768","2003",피그플랜,"010001","180003","3",0,21.3,265,2.32,43.8,17.3,3.2,22.7,0.5,0.2,115.1,82.6,11.7,10.8,0.3,0.6,9.2,24.1,8.8,"67.7","4.6",224,"7.3"
"94","2003",피그플랜,"010001","180003","3",0,21.2,269,2.32,42.8,14.4,0.9,26.9,0.5,0,115.9,80,11.6,10.1,0,1.5,9.1,23.6,6.8,"90.6","5.8",236,"6.8"
"1507","2003",피그플랜,"010003","180007","3",0,21.2,"1,851",2.48,36.4,12.6,1,22.8,0,0,114.1,86.9,11,11,0,0,8.5,19.2,5.5,"93.2","7",250,"6.7"
"799","2003",피그플랜,"010008","180006","4",0,18.8,989,2.32,47.1,13.4,2.6,27.9,2,1.2,114.2,73,10.3,9.6,0,0.7,8.1,23,6.3,"89","4.8",223,"7.4"
"2680","2003",피그플랜,"010002","180006","3",0,21.8,771,2.42,37.7,13.7,2,21.9,0.1,0,114,82.9,11.4,10,0,1.3,9,21.9,6.6,"89.2","4.2",253,"5.8"
"1399","2003",피그플랜,"010001","180006","4",0,18.5,848,2.24,64.5,11.8,3.5,44.1,3.2,1.8,114.4,74.5,10.1,8.8,0.6,0.6,8.2,21.5,6.6,"90.9","1.3",254,"5.2"
"1662","2003",피그플랜,"010001","180003","3",0,21,273,2.28,48.4,14.4,1.2,32.4,0.3,0.2,114.8,71.9,11,10.4,0.1,0.5,9.2,23.8,6.8,"89.1","5.8",227,"7.7"
"1672","2003",피그플랜,"010007","180005","3",0,21.1,442,2.44,35.8,14.9,1.3,19.5,0.1,0,114.9,87.5,11,9.6,0,1.4,8.7,20.1,6.7,"87.3","5.2",250,"7.1"
"784","2003",피그플랜,"010009","180002","4",0,17.7,148,2.14,66.3,15.5,1.6,48.3,0,0.8,114.7,61,9.5,9.5,0,0.1,8.3,25.6,7.8,"85.7","4.2",263,"7.3"
"1756","2003",피그플랜,"010003","180001","3",0,20.5,90,2.36,47.4,14.2,2.2,29.5,1.1,0.3,113.9,74.7,11.2,9.7,0.4,1.1,8.7,20.5,7.2,"78.2","4.6",227,"6.3"
"1808","2003",피그플랜,"010009","180002","3",0,20.8,115,2.26,51.1,16.9,1,32.8,0.4,0,115.9,80.3,11.5,10.5,0.2,0.8,9.2,23.6,8.7,"79.1","6.7",218,"6.2"
"2699","2003",피그플랜,"010009","180002","3",0,23.7,196,2.37,48.7,12.2,1.5,32.7,1.6,0.8,114.5,73,10.7,10.4,0,0.3,10,19.7,6.1,"94.1","5.1",231,"6.6"
"1745","2003",피그플랜,"010001","180002","3",0,23.5,181,2.35,52.6,14.4,0.8,36.6,0.8,0,114.8,73.3,11.1,10.7,0,0.4,10,19,6.8,"86.3","5.8",237,"7.8"
"1867","2003",피그플랜,"010002","180006","4",0,18.8,760,2.27,53.6,18.2,4.4,31,0,0,115,78,10.4,10,0,0.5,8.3,22.1,9.7,"74.5","3.5",294,"5.6"
"848","2003",피그플랜,"010002","180005","4",0,17.4,484,1.99,95.4,18.2,7.7,64.8,1.8,2.8,114.1,66.8,10.5,9.7,0.2,0.6,8.7,21,8.9,"85.5","2.4",237,"5.6"
"2159","2003",피그플랜,"010004","180005","3",0,21.4,463,2.47,37.4,12,0.1,19,5.6,0.7,115.8,89.5,9.8,9.1,0.2,0.6,8.7,22.4,7.5,"87.1",.5,223,"6.1"
"1711","2003",피그플랜,"010001","180004","3",0,21,309,2.18,67.2,15.6,4.5,35.9,7.8,3.4,114.9,69.1,10.8,10.3,0.2,0.3,9.6,21.7,7.1,"86.7","4.6",238,"6.7"
"1239","2003",피그플랜,"010002","180002","3",0,20.7,192,2.32,58.5,12.5,1.6,43,0.6,0.8,114.3,74.6,10.8,10.3,0.1,0.5,8.9,19.8,6.4,"91.7","6.4",220,"7.3"
"1721","2003",피그플랜,"010002","180005","3",0,22.8,406,2.35,48.7,16.8,0.7,31,0,0.3,114.7,77.8,11.6,10.7,0.2,0.7,9.7,19.8,5.9,"88","4.9",237,"6.5"
"2411","2003",피그플랜,"010003","180007","3",0,23.3,"1,345",2.5,40.3,13.5,2.3,23.8,0.1,0.6,113.2,86.2,10.8,10,0,0.9,9.3,16.9,6.2,"89","4.2",238,"6.2"
"1397","2003",피그플랜,"010004","180007","3",0,20.9,"1,038",2.31,50.6,14.5,6,28.5,0.8,0.7,113.9,80.9,10.6,9.6,0,1,9.1,22.2,6.7,"86.4","3.2",252,"6.5"
"1992","2003",피그플랜,"010005","180003","4",0,17.9,291,2.15,72.3,27.4,3.1,41.1,0.5,0.2,114.6,72.9,11.1,9.9,0,1.2,8.3,21.9,14.2,"64.3","3.7",254,"5.9"
"90","2003",피그플랜,"010003","180006","3",0,20.5,709,2.31,54.4,19.7,4.5,30.1,0,0,113.8,80.9,11,10.1,0.4,0.5,8.9,20.6,8,"80.5","5.4",244,"7.9"
"1774","2003",피그플랜,"010002","180004","4",0,19.2,308,2.12,73,14.6,1.3,55.1,1.5,0.5,115.1,70.2,10.6,10.1,0.1,0.4,9.1,23.4,7.9,"87.6","4.5",237,"6.9"
"1776","2003",피그플랜,"010002","180003","4",0,19.5,220,2.04,83.8,21.6,0.1,59.3,2.6,0.1,115,72.9,10.8,10.4,0.1,0.3,9.6,26,11,"75.4","4.3",239,"6.6"
"1073","2003",피그플랜,"010002","180003","5",0,16.5,271,1.74,142.1,119.1,6.5,13.4,0,3.1,115.7,85.8,10.7,9.9,0,0.7,9.5,19.9,6.4,"91.7","5.3",198,"6.9"
"1415","2003",피그플랜,"010001","180005","3",0,23.7,429,2.49,30.1,13.1,1.1,14.6,1,0.3,114.8,89.1,11.2,10.3,0.3,0.6,9.5,19.7,5.8,"91.2","5.4",230,"6.6"
"2619","2003",피그플랜,"010007","180005","3",0,22.4,470,2.35,46.6,11.7,1.9,24.7,6,2.3,114.2,76.9,11.1,10.4,0.3,0.4,9.5,22,5.7,"93","3.7",242,"6"
"1761","2003",피그플랜,"010007","180002","3",0,21.7,172,2.32,54.3,16.7,4.1,30.3,2.1,1.2,114.5,80,11,10.1,0.4,0.5,9.3,19.3,7.3,"90.2","5.3",232,"6.4"
"1818","2003",피그플랜,"010009","180002","3",0,22.3,119,2.49,28.1,12.6,0.4,14.2,0.7,0.2,115,81,12.4,10.6,0.5,1.3,8.9,20,5.7,"91.4","3.9",223,"6.4"
"703","2003",피그플랜,"010006","180002","3",20.9,21.8,139,2.33,46.2,12.6,1.7,26.9,1.3,3.7,114.7,80.8,11.6,10.6,0.1,0.8,9.4,21.2,6,"92","5.1",243,"6.6"
"1764","2003",피그플랜,"010003","180003","3",15.9,21.7,285,2.28,55.1,13.7,2,38.5,0.9,0,114.7,75.2,11,10.1,0,0.9,9.5,20.8,6.3,"91.6","4.4",262,"7.2"
"1717","2003",피그플랜,"010001","180003","3",0,23.9,235,2.48,32.2,13,1.6,15.2,1.4,1,114.5,84.5,11.7,10.8,0.2,0.7,9.6,19.6,6.2,"87.4","4.8",225,"7"
"978","2003",피그플랜,"010005","180002","4",0,17.7,146,1.91,106.6,13.3,7.9,83.9,1.5,0,115.4,65,11.9,10.3,0.4,1.2,9.2,19.4,7.9,"93.6","4.3",253,"7.1"
"2157","2003",피그플랜,"010004","180007","4",0,18.4,"1,019",2.28,53.9,16.2,3.7,21.2,7.5,5.3,115.6,76.7,10.2,9.1,0.2,0.9,8.1,20.9,7.7,"85.9","4",212,"6.9"
"1707","2003",피그플랜,"010001","180004","3",0,21.4,382,2.34,46.6,16.8,3.9,21.9,2.3,1.8,115,85.1,11.9,10.9,0.4,0.7,9.1,20.4,8,"80.3","2.8",243,"6.3"
"2140","2003",피그플랜,"010006","180006","3",0,21.2,515,2.26,59.8,20.4,2.7,36.6,0.1,0,115.1,77.4,10.9,10,0,0.9,9.4,19.9,10.7,"83.1","5.3",,"6.6"
"1420","2003",피그플랜,"010007","180003","3",0,20.9,258,2.3,44.9,12.2,3.4,26.8,2.5,0.1,114.7,74.5,11.4,10.4,0.7,0.4,9.1,21.5,6.2,"92.1","4.4",236,"6.4"
"1716","2003",피그플랜,"010001","180005","3",0,20.9,437,2.35,45.7,19.1,1.7,20.4,3,1.4,114.1,80.1,11.2,10.1,0.6,0.4,8.9,22,8.9,"69.5",.7,235,"5.9"
"1720","2003",피그플랜,"010002","180004","3",0,24.3,396,2.46,36,17.4,0.7,15.4,1.8,0.7,113.8,87,12,11,0.3,0.7,9.9,20.2,6,"93.4","5.1",240,"6.6"
"2467","2010",피그플랜,"010004","180002","4",0,19.2,155,2.3,43.3,18.4,1.8,22.8,0.2,0,115.1,75.9,10.7,9,0,1.7,8.4,23.7,9,"76.5","6.5",247,"7.1"
"1238","2010",피그플랜,"010002","180002","4",17,19.8,139,2.23,52.6,14.6,0.9,37,0,0,115.6,72.9,9.7,9.4,0,0.2,8.9,25.2,7.1,"87.8","5.6",218,"7.2"
"1475","2010",피그플랜,"010002","180001","3",0,21.2,97,2.28,46,19.5,1.4,20.4,3.9,0.9,116.5,85.7,11.6,10.7,0.3,0.5,9.3,23.6,10,"83","5.1",241,"7.3"
"649","2010",피그플랜,"010004","180003","3",0,22.2,228,2.35,36.2,12.8,0.8,20.9,0.1,1.6,114.4,83.9,12,11.2,0.1,0.6,9.4,26.8,6.3,"88","5.1",240,"6.9"
"1729","2010",피그플랜,"010004","180003","3",16.7,22.1,229,2.3,38.1,12.8,0.8,19.3,4.4,0.8,115.8,82.1,11.6,10.9,0.1,0.6,9.6,27.5,6.1,"96.2","8.7",268,"9.4"
"1987","2010",피그플랜,"010002","180005","3",0,20.1,423,2.18,55.3,13.9,3.4,37.8,0.2,0.1,115.5,74.6,10.1,10.1,0,0.1,9.2,25.4,7.5,"86.1","4",249,"5.2"
"681","2010",피그플랜,"010002","180002","3",19.9,20.4,181,2.2,60,23.8,3.1,31.3,0.3,1.5,115.6,72.6,11.2,10.6,0,0.5,9.3,23.9,12.3,"75.4","5.9",228,"6.9"
"89","2010",피그플랜,"010009","180002","3",0,23,168,2.39,26.8,13.2,0.7,12.6,0.3,0,115.5,85.9,11.8,10.6,0.3,0.9,9.6,26.2,6,"94.3","5.6",223,"7.3"
"2680","2010",피그플랜,"010002","180007","3",0,21.6,"1,005",2.35,37.2,14.5,5.5,17.1,0.1,0.1,114.9,84.7,11.7,10.1,0,1.6,9.2,24.6,7.3,"88.3","3.5",259,"5.2"
"1756","2010",피그플랜,"010003","180002","3",0,21.9,156,2.29,47.9,17.2,4.4,24.7,0.9,0.7,114.4,82.8,11.4,11,0,0.4,9.5,23.6,7.3,"86.1","5.7",242,"5.1"
"1801","2010",피그플랜,"010007","180004","4",0,19.6,352,2.24,62.1,29.3,5.9,26.3,0.6,0,114.4,82.3,10.6,9,0,1.6,8.8,21.1,8.5,"83.6","2.7",204,"5.5"
"2405","2010",피그플랜,"010001","180001","3",0,24.5,81,2.46,23.9,23.9,0,0,0,0,115,100,11.4,10.6,0,0.8,9.9,23.3,8.9,"92.1","0",217,"5.5"
