"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"90","2010",피그플랜,"010003","180006","4",0,17.5,821,1.94,89.6,12.7,3.6,71.9,0.4,1,114.3,75.7,10.6,10.2,0.1,0.4,9,23.8,6,"91.4",,242,"4.3"
"1073","2010",피그플랜,"010002","180006","3",0,23.8,968,2.42,26.5,11.9,1,12,1.4,0.2,114.9,90.6,11.5,11,0.3,0.3,9.8,25.4,5.7,"92.5","4.5",239,"6.4"
"1730","2010",피그플랜,"010004","180003","3",0,23.7,206,2.29,39.7,15.5,0.7,23.2,0.1,0.2,115.8,79.9,12.5,11.5,0.2,0.8,10.3,26.3,7.2,"87.4","5.3",251,"5.8"
"1788","2010",피그플랜,"010009","180002","3",0,20.1,166,2.37,33.3,16.6,0.5,15.6,0.5,0,114.9,83.5,11.7,11,0.2,0.5,8.5,21.2,7.9,"87.8","6.2",262,"7.3"
"1307","2010",피그플랜,"010002","180003","3",0,23.4,219,2.46,29.1,12.5,1.1,15.4,0.2,0,115.3,82.9,11.9,10.8,0,1.1,9.5,21.3,5.6,"93.8","6.7",243,"6.6"
"1388","2010",피그플랜,"010002","180001","3",14.1,21.2,62,2.28,49,11.9,0.2,31.6,4.8,0.5,114.7,72,10.5,10,0,0.5,9.3,24,6,"91.9","6.1",242,"6.7"
"1401","2010",피그플랜,"010007","180006","2",0,26.5,508,2.43,25.4,10,1.9,13.5,0,0,114.2,89.7,12.6,11.6,0.4,0.6,10.9,25.8,5.2,"96","3.5",249,"4.8"
"1340","2010",피그플랜,"010001","180006","4",0,19,871,2.29,40.9,16.3,3.1,16.5,1,4,116.2,81.5,11,10.4,0.1,0.5,8.3,25.5,8.1,"81.9","4.7",256,"7.4"
"762","2010",피그플랜,"010003","180004","3",0,22.9,304,2.47,29,12.4,1,15.5,0.1,0.1,115.5,87.5,11.2,10,0.1,1.1,9.3,20.8,5.7,"92.8","4.9",243,"6.1"
"1736","2010",피그플랜,"010005","180002","3",0,20.8,198,2.2,58.6,18.2,3.1,34.3,2.4,0.5,115.4,76.7,11.4,10.5,0.3,0.7,9.4,24.3,10.3,"87.7","7.3",241,"7"
"1053","2010",피그플랜,"010001","180002","4",0,18,162,1.99,73.4,16.5,4.3,45.1,4.9,2.5,115.4,71.3,10.6,10.2,0.1,0.3,9,30.7,8.8,"84.5","6.8",254,"7.6"
"2421","2010",피그플랜,"010001","180001","3",0,22,89,2.19,63.3,33,1.9,28,0.3,0.1,114.4,82.6,12,10.9,0,1.1,10,25,16.1,"64.4","4.1",261,"4.8"
"1436","2010",피그플랜,"010004","180003","5",0,16.8,227,2.01,80.4,10.9,1.7,56.5,5.8,5.6,115.4,72.4,10.5,9.3,0.1,1.1,8.4,24.8,6.1,"93.8","3",256,"4.2"
"1714","2010",피그플랜,"010001","180006","4",0,19.7,602,1.93,81.6,12.4,0.8,65.4,2.1,0.9,115,89.3,12,11.2,0.3,0.5,10.2,26.9,6.2,"93.5",,268,"2.7"
"1304","2010",피그플랜,"010002","180002","3",17.2,21.3,171,2.25,54.9,20.3,1.2,31.9,1.4,0,115,75.3,10.9,10.3,0,0.6,9.5,23.5,10.2,"77.3","6",242,"7.2"
"1253","2010",피그플랜,"010008","180004","4",0,19.4,330,2.03,72.1,14.7,4.9,51.3,1,0.2,117.4,75.9,13.4,11.4,0.7,1.2,9.5,24.2,7.9,"83.3",,268,"2.8"
"1683","2010",피그플랜,"010001","180005","3",0,22.6,476,2.33,48.2,14.4,0.5,33.2,0.3,0,115.2,72.9,10.7,9.9,0,0.9,9.7,20.8,6.8,"87.5","5.1",247,"5.8"
"1645","2010",피그플랜,"010002","180004","3",0,22.8,377,2.33,42.2,17.5,3.1,19.7,1.1,0.7,115.5,83.1,10.9,10.5,0.1,0.3,9.8,23.8,9.1,"85.6","4.7",243,"6.5"
"909","2010",피그플랜,"010009","180003","4",0,19.7,244,2.24,51.6,13.8,3.9,28.5,3.3,2.1,115.6,76.9,10.7,9.8,0.2,0.7,8.8,25.9,6.9,"92.3","3.1",220,"5.5"
"2515","2010",피그플랜,"010001","180005","4",0,19.5,437,2.07,77.5,22.1,3,51.2,0.9,0.3,115,66,10.4,9.8,0,0.5,9.4,25.9,11.7,"80.8","3.3",239,"5.6"
"2309","2010",피그플랜,"010008","180001","4",0,18.8,47,2.04,84.8,36.4,1.7,45.6,1.1,0,115.5,77.3,9.8,9.8,0,0,9.2,23.3,15.4,"73.4","1.3",257,"4.2"
"2157","2010",피그플랜,"010004","180007","3",0,20.5,"1,031",2.25,48.6,13.1,3.5,24.2,4.5,3.4,116.7,79.1,11.4,9.8,0.2,1.4,9.1,25.1,6.9,"87.3","3.8",258,"5.2"
"1733","2010",피그플랜,"010007","180003","3",0,22.6,223,2.35,37.9,21.2,4.5,11.4,0.2,0.5,115.5,87.5,11.3,10.6,0.1,0.6,9.6,26.2,7.5,"86.2","7.1",242,"8.5"
"28","2010",피그플랜,"010002","180003","3",0,23.4,267,2.43,27.5,12.8,0.6,13.6,0.5,0,114.8,84.8,12.3,11.4,0,0.9,9.6,24.1,5.8,"92.8","6.3",254,"6.7"
"1458","2010",피그플랜,"010009","180002","3",0,22.8,155,2.29,39.1,15.2,1.3,22.6,0,0,115.7,84.2,11.4,10.7,0,0.8,9.9,26.5,7.6,"86.6","3.7",243,"5.1"
