"연도","상시모돈","모돈평균산차","평균도폐산차","PSY","모돈회전율","평균이유두수","평균총산","평균실산","평균사산","평균미라","임신기간","포유기간","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","분만율","재귀발정일","재귀율_7일_이내","최초교배일령"
"2014",194,5.3,6.1,23.5,2.28,10.3,12.7,11.3,1.2,0.2,116.1,28.8,35.1,15.4,3.1,13.9,1.5,1.2,88.4,7.8,88.6,255
"2014",171,4.5,5.1,21.7,2.41,9,11.9,10.9,0.7,0.3,115,19.9,42.2,13.9,2.5,25.7,0.2,0,75,7.2,83.3,242
"2014",399,4.3,6.7,20.9,2.2,9.5,12.2,11,1,0.2,116.3,24.8,55.4,13.1,2.5,35.9,2.9,1,69.6,7.2,84.9,232
"2014",365,6.4,8.3,23.8,2.41,9.9,12.5,10.9,1.4,0.3,115.4,24.4,28.1,14.6,0.7,11.5,1.1,0.2,89.8,6.6,88.7,242
"2014",227,4.9,5.6,27.4,2.46,11.1,12.8,12.2,0.6,0,113.9,21.5,32.4,14.5,2.3,15.4,0.2,0,90.4,6.5,91.6,243
"2014",202,3.9,6.8,24.5,2.29,10.7,11.8,11.4,0.3,0.2,115.5,29.2,40,14.8,2.8,22.4,0,0,82.1,7.8,83.6,242
"2014",390,3.3,3,23.9,2.2,10.9,12.5,11.6,0.7,0.1,117,24.6,57.3,11.4,3.4,40.1,1.7,0.8,64.4,6.2,96.6,271
"2014",230,3.5,3.5,18.2,2.15,8.5,11.7,10.5,1.2,0,118.5,21.3,64.6,17.9,3.6,40.6,1.8,0.8,75,9.4,82.7,219
"2014",436,5.7,6.7,23.5,2.33,10.1,12.3,11.3,1,0,115.5,24.6,40.7,15.1,1.1,23.6,0.6,0.3,80.9,7.6,87,242
"2014",1028,4.7,5.1,17,2.26,7.6,10.4,9.3,0.9,0.3,116,24.3,48.2,16.6,2.5,24.1,2.9,2.1,79.3,8.2,79.7,244
"2014",356,5.6,7.6,23.5,2.34,10.1,12.3,11.5,0.7,0.1,115.8,27.2,30.5,13,1.8,14.5,1.2,0,84.9,6.3,88.7,245
"2014",551,4.4,5.4,23,2.32,9.9,12.4,11.4,1,0.1,115,24.2,41.8,17.1,1.5,23.3,0,0,84,8.6,83.9,242
"2014",817,4.2,2.3,24.7,2.43,10.1,12.6,10.9,1.3,0.4,115.1,21,35.4,12.7,0.7,20.3,1.1,0.6,82.5,5.8,92.6,260
"2014",682,5.1,5.1,22.9,2.38,9.6,11,10,0.8,0.2,114.3,21.2,43.1,11,2.2,24.8,4.5,0.7,79.6,5.1,98.2,259
"2014",162,4.6,4.7,20.4,2.18,9.4,11.8,11.1,0.6,0.1,115.9,26.7,55.5,13.9,1.1,33.3,5.7,1.5,66.5,5.1,94.6,243
"2014",120,4.1,4.3,17.6,2.26,7.8,11.6,10.6,1,0,115.6,24.7,51.8,25,3.3,20.4,2.2,0.9,84.2,14.4,68.8,247
"2014",149,10.1,0,23.6,2.51,9.4,9.6,9.6,0,0,115.5,21.4,21,14.5,0,5.6,0.9,0,95.7,5.8,91.8,NA
"2014",716,4.2,4.7,24.2,2.4,10.1,11.6,10.7,0.6,0.3,113.4,24.4,35.6,13.9,1.4,20,0.2,0.1,84.4,6.9,88.5,253
"2014",144,3.5,5.3,21.1,2.21,9.6,12,11,0.9,0.1,115.5,24.2,55.8,20.6,4.4,29,1,0.7,82.6,10.9,65.8,252
"2014",134,4.4,6,20.3,2.25,9,11.9,11.1,0.8,0,114.7,24.3,51.5,15.1,6.4,28.9,1.1,0,76.3,7.7,83.5,244
"2014",274,4.9,6,21.9,2.18,10.1,11.7,11.3,0.4,0,115.7,24.4,58.9,11.5,2.1,36.6,7.6,1.1,69.9,6.1,93.8,244
"2014",1561,4.3,4.5,25.5,2.43,10.5,11.8,11.2,0.4,0.1,114.5,21.5,34.4,15.4,7.4,9.6,0.5,1.4,93.4,7.5,86.7,252
"2014",1592,3.8,1.5,20.8,2.07,10,12.8,11.6,0.8,0.4,116.5,23.2,76.2,12.6,6.6,55.4,1,0.7,66.3,7.3,86.4,259
